모델,정확도,정밀도,재현율,F1 점수,ROC AUC
RandomForest,0.7665010645848119,0.5477707006369427,0.6898395721925134,0.6106508875739645,0.8356260817897647
LightGBM,0.7799858055358411,0.5808080808080808,0.6149732620320856,0.5974025974025975,0.8322508977240435
LogisticRegression,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745665,0.8420057351003642
Stacking,0.8048261178140526,0.6666666666666666,0.5294117647058824,0.5901639344262295,0.8436332635821127
GradientBoosting,0.8026969481902059,0.6655172413793103,0.516042780748663,0.5813253012048193,0.8433943010669354
HistGradientBoosting,0.794180269694819,0.6390728476821192,0.516042780748663,0.5710059171597633,0.8337776744426362
XGBoost,0.7750177430801988,0.5696821515892421,0.6229946524064172,0.59514687100894,0.8336097548373763
